event,window,start,axis,threshold,n_users,count,rate_per_100k,p99,p999,pmax,gini,top1pct_share,anchor_feature,anchor_median
E3,7,2024-11-30,superspreader,0.500000,386153,254,65.777,0.2967,0.4666,0.7879,0.5156,0.0645,influence_score,4179.5
E3,7,2024-11-30,amplifier,0.500000,386153,8940,2315.145,0.5706,0.7075,0.8628,0.6149,0.0504,repost_count,130.0
E3,7,2024-11-30,coordinated,0.500000,386153,786,203.546,0.3876,0.5494,0.8533,0.7708,0.0803,co_action_size,16.0
E4,1,2025-01-01,superspreader,0.500000,304423,165,54.201,0.2949,0.4551,0.7689,0.5175,0.0640,influence_score,5037.0
E4,1,2025-01-01,amplifier,0.500000,304423,8291,2723.513,0.5845,0.7206,0.9527,0.6293,0.0512,repost_count,129.0
E4,1,2025-01-01,coordinated,0.500000,304423,706,231.914,0.3862,0.5625,0.8348,0.7644,0.0785,co_action_size,24.0
E4,2,2025-01-06,superspreader,0.500000,322437,256,79.395,0.3077,0.4778,0.7880,0.5176,0.0647,influence_score,4338.5
E4,2,2025-01-06,amplifier,0.500000,322437,10295,3192.872,0.6017,0.7338,0.9222,0.6213,0.0499,repost_count,128.0
E4,2,2025-01-06,coordinated,0.500000,322437,895,277.574,0.4049,0.5714,0.8448,0.7478,0.0717,co_action_size,22.0
E4,3,2025-01-11,superspreader,0.500000,328546,241,73.354,0.3026,0.4784,0.8254,0.5164,0.0643,influence_score,4486.0
E4,3,2025-01-11,amplifier,0.500000,328546,10014,3047.975,0.5985,0.7339,0.9692,0.6260,0.0511,repost_count,131.0
E4,3,2025-01-11,coordinated,0.500000,328546,654,199.059,0.3842,0.5468,0.8649,0.7572,0.0749,co_action_size,18.1
E4,4,2025-01-16,superspreader,0.500000,332491,275,82.709,0.3054,0.4843,0.8246,0.5167,0.0655,influence_score,4483.0
E4,4,2025-01-16,amplifier,0.500000,332491,10953,3294.225,0.6037,0.7367,0.9398,0.6115,0.0485,repost_count,126.0
E4,4,2025-01-16,coordinated,0.500000,332491,1234,371.138,0.4236,0.5888,0.8005,0.7331,0.0681,co_action_size,33.4
E4,5,2025-01-21,superspreader,0.500000,364555,353,96.830,0.3091,0.4976,0.8275,0.5219,0.0661,influence_score,4724.0
E4,5,2025-01-21,amplifier,0.500000,364555,14543,3989.247,0.6260,0.7535,1.0000,0.6028,0.0473,repost_count,122.0
E4,5,2025-01-21,coordinated,0.500000,364555,1206,330.814,0.4182,0.5811,0.8374,0.7190,0.0643,co_action_size,30.5
